match_id,team1_id,team2_id,winner,loser,drawn,tied,date,type_of_match
62878,1,3,1,3,,,1960-06-09,Test
62879,1,3,1,3,,,1960-06-23,Test
62880,1,3,1,3,,,1960-07-07,Test
62881,1,3,0,,1,,1960-07-21,Test
62882,1,3,0,,1,,1960-08-18,Test
62883,6,7,0,,1,,1960-12-02,Test
62884,6,7,0,,1,,1960-12-16,Test
62885,6,7,0,,1,,1960-12-30,Test
62886,6,7,0,,1,,1961-01-13,Test
62887,6,7,0,,1,,1961-02-08,Test
62888,2,4,0,,,1,1960-12-09,Test
62889,2,4,2,4,,,1960-12-30,Test
62890,2,4,4,2,,,1961-01-13,Test
62891,2,4,0,,1,,1961-01-27,Test
62892,2,4,2,4,,,1961-02-10,Test
62893,1,2,0,,1,,1961-06-08,Test
62894,1,2,2,1,,,1961-06-22,Test
62895,1,2,1,2,,,1961-07-06,Test
62896,1,2,2,1,,,1961-07-27,Test
62897,1,2,0,,1,,1961-08-17,Test
62898,7,1,1,7,,,1961-10-21,Test
62899,7,1,0,,1,,1962-01-19,Test
62900,7,1,0,,1,,1962-02-02,Test
62901,6,1,0,,1,,1961-11-11,Test
62902,6,1,0,,1,,1961-12-01,Test
62903,6,1,0,,1,,1961-12-13,Test
62904,6,1,6,1,,,1961-12-30,Test
62905,6,1,6,1,,,1962-01-10,Test
62906,3,5,3,5,,,1961-12-08,Test
62907,3,5,0,,1,,1961-12-26,Test
62908,3,5,5,3,,,1962-01-01,Test
62909,3,5,3,5,,,1962-02-02,Test
62910,3,5,5,3,,,1962-02-16,Test
62911,4,6,4,6,,,1962-02-16,Test
62912,4,6,4,6,,,1962-03-07,Test
62913,4,6,4,6,,,1962-03-23,Test
62914,4,6,4,6,,,1962-04-04,Test
62915,4,6,4,6,,,1962-04-13,Test
62916,1,7,1,7,,,1962-05-31,Test
62917,1,7,1,7,,,1962-06-21,Test
62918,1,7,1,7,,,1962-07-05,Test
62919,1,7,0,,1,,1962-07-26,Test
62920,1,7,1,7,,,1962-08-16,Test
62921,2,1,0,,1,,1962-11-30,Test
62922,2,1,1,2,,,1962-12-29,Test
62923,2,1,2,1,,,1963-01-11,Test
62924,2,1,0,,1,,1963-01-25,Test
62925,2,1,0,,1,,1963-02-15,Test
62926,5,1,1,5,,,1963-02-23,Test
62927,5,1,1,5,,,1963-03-01,Test
62928,5,1,1,5,,,1963-03-15,Test
62929,1,4,4,1,,,1963-06-06,Test
62930,1,4,0,,1,,1963-06-20,Test
